[2026-04-09T09:21:49.500Z] GET http://localhost:8777/index.html → 200 (11ms, 24952B)
[2026-04-09T09:21:49.517Z] GET https://fonts.googleapis.com/css2?family=Outfit:wght@300;400;500;600;700;800;900&family=Noto+Serif+JP:wght@400;700;900&display=swap → 200 (380ms, 351437B)
[2026-04-09T09:21:50.107Z] GET https://fonts.gstatic.com/s/outfit/v15/QGYvz_MVcBeNP4NJtEtqUYLknw.woff2 → pending (?ms, ?B)
[2026-04-09T09:21:50.107Z] GET https://fonts.gstatic.com/s/notoserifjp/v33/xn7mYHs72GKoTvER4Gn3b5eMXNukZEY1FdvPydaYCaeub8TUnmzwwRURhX8K-w.113.woff2 → pending (?ms, ?B)
[2026-04-09T09:21:50.107Z] GET https://fonts.gstatic.com/s/notoserifjp/v33/xn7mYHs72GKoTvER4Gn3b5eMbNmuY2Q3X88.woff2 → pending (?ms, ?B)
[2026-04-09T09:21:50.107Z] GET https://fonts.gstatic.com/s/notoserifjp/v33/xn7mYHs72GKoTvER4Gn3b5eMXNukZEY1FdvPydaYCaeub8TUnmzwwRURhX8K-w.112.woff2 → pending (?ms, ?B)
[2026-04-09T09:21:50.107Z] GET https://fonts.gstatic.com/s/notoserifjp/v33/xn7mYHs72GKoTvER4Gn3b5eMXNukZEY1FdvPydaYCaeub8TUnmzwwRURhX8K-w.116.woff2 → pending (?ms, ?B)
[2026-04-09T09:21:50.107Z] GET https://fonts.gstatic.com/s/notoserifjp/v33/xn7mYHs72GKoTvER4Gn3b5eMXNukZEY1FdvPydaYCaeub8TUnmzwwRURhX8K-w.109.woff2 → pending (?ms, ?B)
[2026-04-09T09:21:50.107Z] GET https://fonts.gstatic.com/s/notoserifjp/v33/xn7mYHs72GKoTvER4Gn3b5eMXNukZEY1FdvPydaYCaeub8TUnmzwwRURhX8K-w.117.woff2 → pending (?ms, ?B)
[2026-04-09T09:21:50.107Z] GET https://fonts.gstatic.com/s/notoserifjp/v33/xn7mYHs72GKoTvER4Gn3b5eMXNukZEY1FdvPydaYCaeub8TUnmzwwRURhX8K-w.118.woff2 → pending (?ms, ?B)
[2026-04-09T09:21:50.107Z] GET https://fonts.gstatic.com/s/notoserifjp/v33/xn7mYHs72GKoTvER4Gn3b5eMbN2uY2Q3X8_92A.woff2 → pending (?ms, ?B)
